iter	RMSE
0	1032720.36
1	998872.7896
2	966357.7547
3	936608.7454
4	908655.0412
5	883981.6382
6	860013.1689
7	837015.6334
8	816102.3834
9	797609.1784
10	778454.2892
11	759652.369
12	743352.5863
13	728339.2029
14	714041.2004
15	700171.0923
16	688251.603
17	676854.5545
18	665497.2754
19	652303.7555
20	640995.0233
21	632193.9397
22	624601.8421
23	616330.1004
24	606474.9784
25	597537.2955
26	591034.4947
27	583426.1829
28	576372.8475
29	570956.1147
30	563851.1481
31	558212.0297
32	554261.2286
33	549074.6583
34	544540.3059
35	541098.2626
36	537384.6822
37	533478.6213
38	530884.3698
39	526362.1574
40	522921.306
41	519957.5709
42	517678.481
43	513944.026
44	510285.6697
45	508373.5944
46	506275.7786
47	504690.5297
48	502549.9686
49	500186.5034
50	498280.1532
51	496726.8096
52	494417.9412
53	492976.0715
54	491072.3808
55	489130.6119
56	486650.3792
57	485230.9023
58	483079.0482
59	480759.2053
60	479222.118
61	477719.3291
62	475736.1628
63	473804.841
64	472196.9833
65	471105.3385
66	469322.9715
67	468221.9435
68	467249.1374
69	465921.2965
70	464421.4506
71	462757.8371
72	461541.5506
73	460009.2885
74	458991.2888
75	457532.2743
76	456387.4921
77	455690.061
78	454441.8465
79	453775.0618
80	453114.8253
81	451266.3502
82	450246.8341
83	449376.8429
84	447561.2206
85	446367.3024
86	445462.9141
87	444495.7539
88	443837.0707
89	442781.8048
90	442311.3094
91	441584.3397
92	441044.2459
93	440702.7047
94	439795.8576
95	438753.019
96	438240.9022
97	437356.8734
98	436324.1148
99	434757.6388
100	434009.5693
101	433332.2499
102	432664.3441
103	431879.35
104	431292.5531
105	430621.3829
106	430016.4831
107	429033.6402
108	428661.7929
109	428180.9754
110	427380.1197
111	427090.1628
112	426723.7697
113	425904.3396
114	425439.2577
115	425170.391
116	424378.9301
117	423137.0735
118	421900.0532
119	421459.0935
120	420966.9237
121	420096.4831
122	418787.7672
123	418287.592
124	417834.5616
125	416511.7475
126	415663.532
127	415160.7895
128	414569.4208
129	414264.6572
130	413846.9419
131	413413.0642
132	413005.4727
133	412692.9374
134	411834.3002
135	411159.2122
136	410532.0553
137	410211.2954
138	409046.348
139	408224.8271
140	407961.5333
141	407475.4458
142	406530.331
143	405795.7716
144	404830.0523
145	404696.9072
146	404548.8751
147	404281.1902
148	404081.9517
149	403722.1597
150	403399.6637
151	402758.7601
152	402410.4055
153	401953.7896
154	400896.076
155	400078.7141
156	399857.3736
157	399317.1271
158	399060.0907
159	398706.0701
160	398112.6947
161	397813.7878
162	397373.3962
163	396998.4863
164	396654.4358
165	396482.5108
166	396223.4152
167	395976.4126
168	395354.5645
169	395121.3477
170	394529.7227
171	394039.0065
172	393401.1243
173	393061.0484
174	392827.4655
175	392346.5868
176	391782.4026
177	391300.7156
178	391079.6434
179	390806.5982
180	390506.1832
181	390273.3052
182	389755.4559
183	389455.0015
184	389090.7661
185	388673.7695
186	388410.165
187	388108.0771
188	387645.9255
189	387353.6984
190	387028.6006
191	386877.9817
192	386615.619
193	386299.616
194	385900.8538
195	385721.5766
196	385411.7671
197	385080.0016
198	384775.2351
199	384611.1093
200	384511.9989
201	384013.7398
202	383742.0811
203	383559.2499
204	383325.7221
205	382986.3798
206	382821.6643
207	382533.03
208	382342.6099
209	382172.967
210	381857.0167
211	381592.0812
212	381092.8686
213	380980.2083
214	380752.0141
215	380504.6073
216	380384.8048
217	380068.3424
218	379989.7813
219	379709.1942
220	379319.6987
221	378245.3768
222	378090.0315
223	377719.3617
224	377598.5864
225	377365.1879
226	376427.643
227	376127.5108
228	376011.6586
229	375902.0643
230	375659.4119
231	375426.4899
232	375371.5783
233	375153.5866
234	374981.8622
235	374670.4181
236	373946.3831
237	373502.1253
238	373224.0802
239	373017.3907
240	372803.6623
241	372618.5758
242	371730.7496
243	371235.112
244	371156.1191
245	370523.7118
246	370339.3604
247	370062.6868
248	369729.865
249	369505.486
250	369339.0679
251	368801.2183
252	368622.7784
253	368231.2911
254	368055.5803
255	367955.8583
256	367388.7899
257	367272.215
258	366803.8276
259	366664.3574
260	366479.2696
261	366342.2458
262	366075.3816
263	365979.2515
264	365861.4737
265	365715.9726
266	365627.4714
267	364864.8084
268	364719.9555
269	364506.4137
270	364348.7354
271	364071.9555
272	363693.7884
273	363174.7595
274	363078.4041
275	362875.2223
276	362597.0245
277	362425.4871
278	362233.6855
279	362052.2876
280	361753.1039
281	361359.4594
282	361231.9149
283	360864.8795
284	360586.3772
285	360181.3726
286	359857.8345
287	359587.4061
288	359399.2158
289	359001.5425
290	358838.9959
291	358645.1919
292	358537.1036
293	358289.8814
294	358088.8416
295	357948.9603
296	357868.8626
297	357527.1517
298	357204.0031
299	357026.3633
300	356931.9938
301	356675.1884
302	356323.4546
303	356053.4107
304	355869.5816
305	355624.1749
306	355415.1585
307	355221.6622
308	354889.1559
309	354622.2748
310	354532.4994
311	354445.2827
312	354321.2204
313	354215.2345
314	353964.6931
315	353884.4651
316	353432.1622
317	353221.5221
318	353066.7972
319	352760.9008
320	352648.6796
321	352569.3483
322	352433.6503
323	352108.0677
324	351976.5991
325	351804.2307
326	351440.6804
327	351294.9109
328	351067.3278
329	350917.2658
330	350708.3092
331	350600.1314
332	350358.3581
333	349963.2924
334	349838.3458
335	349723.4538
336	349621.0206
337	349500.0557
338	349334.1579
339	349179.9917
340	349105.9708
341	349033.7449
342	348661.5078
343	348585.9043
344	348532.359
345	348430.2436
346	348259.0882
347	348021.4778
348	347769.874
349	347552.5675
350	347402.1288
351	346876.9971
352	346630.3305
353	346386.0407
354	346253.9478
355	346080.9508
356	345762.3651
357	345692.5165
358	345481.4927
359	345396.8409
360	345197.1693
361	344979.1356
362	344915.6167
363	344717.5719
364	344613.8372
365	344398.6901
366	344280.1138
367	344146.9121
368	343866.7216
369	343692.8443
370	343586.0232
371	343502.3074
372	343255.2362
373	342957.1926
374	342597.0933
375	342494.4766
376	342383.9214
377	342293.5355
378	342235.4624
379	341695.7377
380	341619.101
381	341463.2144
382	341348.9589
383	341230.5643
384	340987.0825
385	340763.5082
386	340623.6241
387	340408.7107
388	340291.8738
389	340200.6909
390	340107.589
391	339552.2645
392	339469.2495
393	339375.4621
394	339287.6845
395	338830.5772
396	338748.1882
397	338692.9275
398	338554.2546
399	338351.7996
400	338272.892
401	337993.7601
402	337667.1924
403	337473.585
404	337389.2644
405	337199.4962
406	337126.694
407	336821.4113
408	336697.01
409	336630.1962
410	336478.1089
411	336427.9205
412	336285.1071
413	336065.8987
414	335893.883
415	335742.2007
416	335525.4041
417	335377.8648
418	335026.5686
419	334750.3339
420	334596.1031
421	334476.8877
422	334249.3187
423	333968.7071
424	333849.6138
425	333746.7961
426	333259.2514
427	333054.3116
428	332908.8931
429	332846.7771
430	332557.0697
431	332429.5387
432	332313.2345
433	332075.2233
434	331898.926
435	331696.2637
436	331616.1837
437	331541.4578
438	331255.8497
439	331178.9151
440	331010.0944
441	330908.7405
442	330655.6598
443	330438.0199
444	330319.047
445	330257.512
446	330048.3719
447	329862.6525
448	329684.2265
449	329245.1033
450	329204.7568
451	329147.6932
452	328907.4626
453	328841.3532
454	328732.2399
455	328477.5411
456	328433.9369
457	328311.3258
458	328048.0068
459	327879.5416
460	327832.378
461	327556.2763
462	327487.1807
463	327414.1952
464	327338.2297
465	327273.2001
466	327231.0866
467	326838.2741
468	326602.2366
469	326428.2908
470	326330.7094
471	326005.9759
472	325874.4373
473	325725.7847
474	325558.6477
475	325344.1518
476	325264.3693
477	325173.6187
478	325086.507
479	324955.2183
480	324775.4465
481	324667.9924
482	324282.6812
483	324063.173
484	324028.5281
485	323906.9853
486	323619.2725
487	323366.4965
488	323257.1181
489	323093.4234
490	322901.2858
491	322764.086
492	322666.377
493	322557.1065
494	322490.2234
495	322316.8587
496	322159.6192
497	322083.5708
498	321985.02
499	321811.9236
500	321557.3804
501	321435.7705
502	321265.2889
503	321192.9064
504	321095.4065
505	320920.2197
506	320665.5295
507	320521.7688
508	320487.382
509	320391.0796
510	320317.4624
511	320152.1832
512	320002.8542
513	319896.238
514	319812.3978
515	319582.1545
516	319433.5317
517	319395.6417
518	319295.5182
519	319062.0842
520	318966.0344
521	318896.6679
522	318818.0334
523	318736.1663
524	318682.7816
525	318618.0313
526	318502.51
527	318298.1889
528	318245.5595
529	318189.4709
530	318115.0046
531	317980.0899
532	317835.9782
533	317782.8557
534	317467.5767
535	317302.5003
536	317240.3804
537	317177.2979
538	317063.0109
539	316903.2775
540	316872.1096
541	316769.5119
542	316644.9714
543	316566.5358
544	316264.8834
545	316179.2159
546	316046.0429
547	315897.8985
548	315728.3619
549	315579.5428
550	315343.6678
551	315099.6721
552	314843.8974
553	314619.756
554	314552.2805
555	314434.7136
556	314323.0087
557	314275.4788
558	314160.674
559	314094.3051
560	313984.7169
561	313844.8114
562	313772.4159
563	313684.9156
564	313538.6039
565	313399.1288
566	313344.2249
567	313224.624
568	313098.7714
569	312708.8216
570	312564.8264
571	312375.7092
572	312309.9767
573	312166.0384
574	312115.9378
575	312018.0332
576	311954.0396
577	311897.251
578	311736.0263
579	311694.9673
580	311614.9037
581	311541.0437
582	311380.3439
583	311321.313
584	311259.8552
585	311172.6243
586	311128.4931
587	311059.019
588	310919.2502
589	310796.4224
590	310623.7923
591	310563.8933
592	310426.1934
593	310168.5172
594	310118.4456
595	309949.6003
596	309681.8474
597	309465.8624
598	309315.2138
599	309216.474
600	309158.6989
601	308965.7726
602	308886.5637
603	308833.0934
604	308795.5231
605	308729.684
606	308680.9517
607	308562.9361
608	308436.5461
609	308406.0288
610	308314.9815
611	308110.2865
612	308032.0604
613	307878.2969
614	307847.7494
615	307611.299
616	307522.6767
617	307275.8007
618	307115.9292
619	307006.0194
620	306773.0057
621	306682.0085
622	306566.6403
623	306502.9574
624	306258.6511
625	306237.5988
626	306160.5402
627	305947.2371
628	305844.4403
629	305673.7034
630	305596.6832
631	305547.3974
632	305416.3454
633	305235.1194
634	305202.7751
635	305008.0721
636	304943.5448
637	304767.8703
638	304654.8171
639	304523.2175
640	304495.6895
641	304400.6874
642	304246.5677
643	304177.9552
644	304121.6904
645	304042.2655
646	303953.9954
647	303795.517
648	303639.8399
649	303506.2227
650	303376.6556
651	303310.7427
652	303181.4809
653	303087.1874
654	302921.3979
655	302860.2752
656	302744.6114
657	302596.6767
658	302452.1342
659	302388.3081
660	302333.1346
661	302255.9319
662	302161.359
663	302086.9695
664	301996.3207
665	301749.1189
666	301632.1805
667	301530.5246
668	301404.5916
669	301356.7618
670	301270.2909
671	301106.4241
672	300983.4183
673	300863.1874
674	300751.8154
675	300682.1966
676	300626.3277
677	300503.4807
678	300467.0795
679	300400.9018
680	300263.8812
681	300199.3608
682	300139.7073
683	300098.8673
684	299961.7248
685	299837.617
686	299785.9196
687	299732.5654
688	299665.1674
689	299632.5636
690	299450.6805
691	299167.65
692	299104.4989
693	299012.2455
694	298936.0436
695	298896.7423
696	298762.6126
697	298619.7216
698	298440.5815
699	298355.6596
700	298217.0177
701	298125.3512
702	298080.5322
703	297927.65
704	297774.2954
705	297726.0336
706	297657.0189
707	297616.2597
708	297482.6687
709	297421.4887
710	297269.6058
711	297122.5459
712	297058.7642
713	296913.516
714	296797.7077
715	296708.2818
716	296619.6078
717	296579.4398
718	296316.5234
719	296193.1428
720	296142.7616
721	296126.7315
722	296068.4953
723	295986.6535
724	295912.4867
725	295815.3787
726	295751.5842
727	295692.2121
728	295657.86
729	295461.9932
730	295297.9731
731	295266.0645
732	295184.5622
733	295101.5908
734	295059.0886
735	294895.0872
736	294764.5019
737	294621.7094
738	294580.352
739	294501.6598
740	294429.5677
741	294362.9716
742	294221.2865
743	294143.6319
744	294011.6454
745	293878.7925
746	293807.3076
747	293703.0308
748	293657.794
749	293604.0203
750	293440.8391
751	293276.538
752	293170.8749
753	293119.3612
754	292998.6631
755	292932.0866
756	292862.0623
757	292829.6675
758	292676.9437
759	292554.4661
760	292513.9923
761	292442.7601
762	292317.4613
763	292187.3383
764	292115.5678
765	292085.1594
766	292017.8279
767	291873.1755
768	291673.5515
769	291613.1653
770	291461.4075
771	291344.5232
772	291258.1896
773	291197.2858
774	291145.0872
775	291030.1347
776	290987.8817
777	290924.0486
778	290860.9772
779	290766.1259
780	290731.7593
781	290661.4405
782	290623.9115
783	290547.3544
784	290459.3925
785	290434.4463
786	290327.9267
787	290273.1644
788	290207.7366
789	290107.5723
790	290060.6678
791	289936.2098
792	289890.3474
793	289774.6899
794	289718.9291
795	289634.3564
796	289580.5065
797	289421.2972
798	289306.083
799	289276.182
800	289107.2723
801	289007.6035
802	288941.5095
803	288880.6362
804	288759.0481
805	288700.4264
806	288607.1352
807	288570.6883
808	288461.571
809	288397.8208
810	288360.7468
811	288308.2313
812	288260.1092
813	288159.6851
814	288116.397
815	287939.4722
816	287839.3536
817	287748.9032
818	287668.05
819	287544.7772
820	287488.8601
821	287372.4614
822	287307.532
823	287247.8385
824	287182.9249
825	287102.7201
826	286954.915
827	286868.4303
828	286812.477
829	286696.2983
830	286628.4626
831	286512.9075
832	286449.6106
833	286320.4038
834	286279.9669
835	286167.2645
836	286081.2324
837	286044.955
838	285943.551
839	285784.2499
840	285730.8549
841	285637.8631
842	285565.6478
843	285495.9342
844	285448.0849
845	285425.2194
846	285383.9921
847	285313.7466
848	285176.0537
849	285124.2156
850	284982.2443
851	284939.6315
852	284897.6903
853	284781.3374
854	284570.9343
855	284519.9908
856	284456.3806
857	284374.2659
858	284259.8111
859	284229.5773
860	284127.0025
861	283970.22
862	283940.5134
863	283831.0783
864	283755.4459
865	283674.3292
866	283545.2234
867	283488.7987
868	283336.7208
869	283191.2904
870	283070.4742
871	283031.5338
872	282956.7161
873	282907.9112
874	282793.2616
875	282700.3692
876	282533.027
877	282380.782
878	282267.3038
879	282180.1754
880	282150.1468
881	282015.9486
882	281989.9119
883	281892.1278
884	281784.4396
885	281599.4234
886	281508.1026
887	281365.8772
888	281277.201
889	281190.2743
890	281109.0209
891	281014.2811
892	280922.2313
893	280854.2286
894	280816.5682
895	280785.3342
896	280687.5788
897	280610.8822
898	280565.1282
899	280446.6745
900	280397.4755
901	280268.8761
902	280236.3606
903	280124.0345
904	280056.7221
905	279932.0403
906	279794.4903
907	279772.8006
908	279726.9848
909	279610.5993
910	279541.1418
911	279502.4624
912	279485.8557
913	279368.876
914	279269.4862
915	279221.4383
916	279143.4667
917	278995.2886
918	278909.0923
919	278832.4456
920	278786.5637
921	278731.304
922	278658.7712
923	278569.6979
924	278517.0599
925	278383.9741
926	278354.2445
927	278308.2095
928	278104.8838
929	278065.2679
930	277891.0043
931	277848.1955
932	277822.6032
933	277747.0577
934	277712.3174
935	277635.829
936	277528.7752
937	277449.7524
938	277398.2751
939	277331.1627
940	277185.782
941	277150.4774
942	276969.528
943	276822.2229
944	276770.387
945	276719.4299
946	276667.2431
947	276593.8117
948	276553.8625
949	276489.7473
950	276428.8612
951	276373.3311
952	276284.7807
953	276237.0419
954	276146.0628
955	276091.0976
956	276031.3232
957	275965.7171
958	275926.9886
959	275837.623
960	275688.6258
961	275571.3545
962	275522.9945
963	275478.2706
964	275422.7302
965	275360.2252
966	275271.3839
967	275245.277
968	275139.4577
969	275062.8826
970	274934.0758
971	274842.9687
972	274784.025
973	274734.9516
974	274641.9693
975	274540.9575
976	274473.0444
977	274433.1691
978	274382.3866
979	274310.1357
980	274193.8639
981	274070.4149
982	274012.1973
983	273987.3084
984	273858.873
985	273829.8836
986	273771.8376
987	273730.5681
988	273653.441
989	273627.2495
990	273512.4296
991	273429.5129
992	273387.8985
993	273251.4041
994	273192.1164
995	273105.4901
996	273032.5413
997	272975.8988
998	272898.2327
999	272865.6081
