iter	Passed	Remaining
0	137	136895
1	142	70987
2	145	48392
3	149	37326
4	152	30441
5	156	25937
6	159	22680
7	163	20281
8	167	18415
9	170	16904
10	174	15721
11	178	14733
12	183	13911
13	187	13207
14	191	12570
15	195	12000
16	198	11498
17	203	11084
18	207	10738
19	212	10388
20	215	10057
21	220	9822
22	224	9543
23	229	9321
24	232	9084
25	237	8881
26	240	8676
27	244	8481
28	248	8304
29	252	8169
30	256	8014
31	260	7872
32	263	7734
33	269	7650
34	276	7610
35	279	7476
36	283	7376
37	286	7256
38	290	7149
39	293	7037
40	297	6950
41	301	6882
42	307	6834
43	311	6758
44	314	6684
45	319	6623
46	323	6566
47	327	6500
48	331	6439
49	337	6412
50	341	6359
51	345	6300
52	349	6250
53	354	6206
54	358	6153
55	361	6102
56	365	6054
57	371	6030
58	374	5972
59	377	5920
60	381	5865
61	384	5814
62	387	5768
63	392	5733
64	395	5687
65	398	5641
66	402	5601
67	407	5584
68	410	5539
69	413	5498
70	418	5476
71	422	5442
72	425	5403
73	428	5368
74	433	5341
75	438	5328
76	442	5308
77	448	5301
78	453	5283
79	456	5249
80	460	5219
81	464	5195
82	467	5166
83	470	5133
84	474	5104
85	477	5074
86	482	5065
87	486	5047
88	491	5028
89	495	5013
90	500	4997
91	507	5013
92	514	5015
93	518	5001
94	523	4982
95	527	4968
96	532	4953
97	537	4946
98	542	4939
99	548	4939
100	555	4945
101	560	4932
102	566	4934
103	571	4921
104	575	4907
105	579	4890
106	583	4871
107	587	4854
108	592	4839
109	596	4825
110	600	4806
111	604	4789
112	608	4775
113	612	4757
114	615	4738
115	619	4723
116	624	4710
117	628	4694
118	631	4678
119	636	4664
120	641	4658
121	645	4644
122	649	4630
123	653	4619
124	657	4605
125	661	4591
126	665	4575
127	669	4562
128	673	4547
129	676	4530
130	680	4513
131	685	4506
132	688	4489
133	691	4471
134	694	4452
135	698	4437
136	702	4422
137	705	4405
138	708	4387
139	712	4374
140	715	4360
141	718	4344
142	722	4328
143	725	4314
144	729	4302
145	733	4290
146	736	4274
147	739	4259
148	743	4246
149	747	4237
150	751	4222
151	754	4210
152	758	4200
153	763	4194
154	766	4180
155	770	4166
156	773	4154
157	777	4141
158	780	4130
159	783	4115
160	787	4102
161	790	4088
162	793	4075
163	797	4063
164	800	4051
165	803	4037
166	806	4024
167	810	4013
168	813	4000
169	817	3991
170	820	3978
171	824	3967
172	827	3955
173	830	3943
174	833	3931
175	837	3919
176	840	3909
177	844	3898
178	847	3887
179	850	3875
180	853	3863
181	857	3854
182	861	3845
183	864	3834
184	867	3822
185	871	3811
186	875	3804
187	878	3793
188	881	3782
189	884	3771
190	888	3762
191	891	3753
192	895	3742
193	898	3731
194	901	3720
195	905	3715
196	908	3704
197	912	3694
198	915	3683
199	918	3675
200	922	3665
201	925	3655
202	928	3645
203	931	3635
204	935	3627
205	938	3618
206	941	3606
207	944	3596
208	947	3587
209	952	3582
210	955	3572
211	958	3563
212	961	3553
213	965	3545
214	968	3537
215	971	3527
216	975	3518
217	978	3509
218	981	3501
219	985	3493
220	988	3484
221	991	3474
222	995	3468
223	998	3460
224	1002	3452
225	1005	3445
226	1009	3436
227	1013	3431
228	1016	3422
229	1020	3414
230	1023	3407
231	1027	3400
232	1030	3393
233	1034	3385
234	1037	3377
235	1041	3370
236	1044	3364
237	1048	3356
238	1051	3348
239	1055	3340
240	1058	3333
241	1062	3327
242	1065	3318
243	1068	3311
244	1072	3303
245	1075	3297
246	1079	3290
247	1082	3283
248	1086	3276
249	1089	3269
250	1093	3264
251	1097	3257
252	1100	3250
253	1103	3242
254	1108	3237
255	1112	3231
256	1115	3225
257	1119	3218
258	1122	3212
259	1126	3205
260	1130	3199
261	1133	3192
262	1137	3188
263	1142	3184
264	1148	3186
265	1154	3184
266	1159	3182
267	1164	3179
268	1168	3174
269	1172	3171
270	1177	3166
271	1181	3161
272	1185	3157
273	1189	3152
274	1193	3147
275	1197	3140
276	1201	3135
277	1204	3128
278	1207	3121
279	1211	3114
280	1214	3106
281	1217	3099
282	1220	3092
283	1224	3085
284	1227	3078
285	1230	3072
286	1233	3064
287	1237	3058
288	1240	3052
289	1243	3044
290	1247	3038
291	1250	3031
292	1253	3025
293	1257	3018
294	1260	3013
295	1264	3007
296	1269	3005
297	1273	3000
298	1277	2994
299	1280	2987
300	1284	2982
301	1287	2976
302	1291	2970
